"€1,925 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Swanward Court, Parnell Road, Harold's Cross, Dublin 6"
"€1,160 monthly","1 bedroom (1 double), 1 bathroom, unfurnished","1 Bed, Coldcut Park, Clondalkin, Dublin 22"
"€1,800 monthly","1 bedroom (1 double), 1 bathroom, furnished","Aprtment 52, Pier 19, Bridgefoot street, Dublin 8"
"€1,400 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Hazelgrove Court, Tallaght, Dublin 24"
"€1,550 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Castlegrange Square, Clondalkin, Dublin 22"
€735 monthly,studio apartment to rent,"Mount Eden Road, Donnybrook, Dublin 4"
"€1,450 monthly","1 bedroom (1 double), 1 bathroom, furnished","106 Rathmines Road Lower, Rathmines, Dublin 6"
"€1,875 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Camden Street Upper, Dublin 2"
"€1,800 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Clon Brugh, The Wood, Aikens Village, Sandyford, Sandyford, Dublin 18"
"€1,417 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Dorset Square, Gardiner Street Upper, Dublin 1"
€900 monthly,"1 bedroom (1 single), 1 bathroom, furnished","24 Beneavin Park, Glasnevin, Dublin 9"
"€1,650 monthly","1 bedroom (1 double), 1 bathroom, furnished","Harcourt Hall, charlottes way, Dublin 2"
"€1,560 monthly","1 bedroom (1 double), 1 bathroom, furnished","Swift Hall, Deans Street, The Coombe, Dublin 8"
"€1,850 monthly","3 bedrooms (3 double), 2 bathrooms, furnished","Lanesborough, Finglas, Dublin 11"
"€1,750 monthly","2 bedrooms (1 double, 1 twin), 2 bathrooms, furnished","Malin Hall, Waterville Terrace, Blanchardstown, Du, Blanchardstown, Dublin 15"
"€1,950 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Windmill lane, Dublin 2"
"€1,050 monthly","1 bedroom (1 double), 1 bathroom, furnished","Prussia Street, Stoneybatter, Dublin 7"
"€1,915 monthly","3 bedrooms (1 single, 2 double), 2 bathrooms, furnished","Fitzgerald Park, Lower Mounttown Road, Monkstown, Co. Dublin"
"€1,813 monthly","2 bedrooms (1 single, 1 double), 2 bathrooms, furnished","Woodview Mount Merrion Avenue, Blackrock, Co. Dublin"
